product,console,variant,type,market_price,old_price,new_price,diff,profit,status
American Pool - PS1 Game,Playstation,,,,,,,,NO_MATCH
AMF Bowling World La - NES Game - Wii Game,Wii,game only,loose,11.99,9.99,16.99,7.00,4.21,APPLIED
AMF Bowling World La - NES Game - Wii Game,Wii,complete (cib),cib,15.03,11.99,20.99,9.00,5.05,APPLIED
AMF Xtreme Bowling - PS2 Game,Playstation 2,game only,loose,3.98,6.99,5.99,-1.00,1.54,APPLIED
AMF Xtreme Bowling - PS2 Game,Playstation 2,complete (cib),cib,7.04,6.18,9.99,3.81,2.36,APPLIED
And 1 Streetball - PS2 Game,Playstation 2,game only,loose,11.00,11.99,14.99,3.00,3.26,APPLIED
And 1 Streetball - PS2 Game,Playstation 2,complete (cib),cib,17.74,17.99,23.99,6.00,5.25,APPLIED
Andretti Racing - PS1 Game,Playstation,game only,loose,3.99,13.99,5.99,-8.00,1.53,APPLIED
Andretti Racing - PS1 Game,Playstation,complete (cib),cib,6.48,7.96,8.99,1.03,1.95,APPLIED
Angry Birds Star Wars - Wii Game,Wii,game only,loose,4.70,10.99,6.99,-4.00,1.79,APPLIED
Angry Birds Star Wars - Wii Game,Wii,complete (cib),cib,8.60,12.99,11.99,-1.00,2.74,APPLIED
Animal Crossing City Folk - Wii Game,Wii,game only,loose,19.99,23.68,26.99,3.31,5.92,APPLIED
Animal Crossing City Folk - Wii Game,Wii,complete (cib),cib,22.76,23.68,30.99,7.31,7.03,APPLIED
Animal Kingdom: Wildlife Expedition - Wii Game,Wii,,,,,,,,NO_MATCH
Animal Snap - GBA Game,Gameboy Advance,complete (cib),cib,12.99,7.32,17.99,10.67,4.18,APPLIED
Animaniacs - Gameboy Game,Gameboy,game only,loose,10.73,16.99,14.99,-2.00,3.53,APPLIED
Animaniacs - Gameboy Game,Gameboy,complete (cib),cib,94.44,18.78,127.99,109.21,29.54,APPLIED
Animaniacs - Sega Genesis Game,Sega Genesis,complete (cib),cib,22.39,16.56,30.99,14.43,7.40,APPLIED
Animaniacs - SNES Game,SNES,,,,,,,,NO_MATCH
Animaniacs Ten Pin Alley - PS1 Game,Playstation,,,,,,,,NO_MATCH
Animorphs Shattered Reality - PS1 Game,Playstation,,,,,,,,NO_MATCH
Anticipation - NES Game,NES,game only,loose,6.82,5.05,9.99,4.94,2.58,APPLIED
Anticipation - NES Game,NES,complete (cib),cib,19.95,5.05,26.99,21.94,5.96,APPLIED
Antz - Gameboy Color Game,Gameboy Color,complete (cib),cib,13.50,9.96,18.99,9.03,4.64,APPLIED
Antz Extreme Racing - PS2 Game,Playstation 2,game only,loose,5.76,8.99,7.99,-1.00,1.70,APPLIED
Antz Extreme Racing - PS2 Game,Playstation 2,complete (cib),cib,7.50,8.02,10.99,2.97,2.87,APPLIED
Antz Racing - Gameboy Color Game,Gameboy Color,complete (cib),cib,35.00,10.08,47.99,37.91,11.30,APPLIED
Anubis II - Wii Game,Wii,game only,loose,6.00,7.23,8.99,1.76,2.43,APPLIED
Anubis II - Wii Game,Wii,complete (cib),cib,7.49,7.23,10.99,3.76,2.88,APPLIED
Ape Escape - PS1 Game,Playstation,game only,loose,19.99,37.98,26.99,-10.99,5.92,APPLIED
Ape Escape - PS1 Game,Playstation,complete (cib),cib,44.85,37.98,60.99,23.01,14.07,APPLIED
Ape Escape 2 - PS2 Game,Playstation 2,game only,loose,53.31,71.02,71.99,0.97,16.29,APPLIED
Ape Escape 2 - PS2 Game,Playstation 2,complete (cib),cib,64.83,71.02,87.99,16.97,20.31,APPLIED
Ape Escape 3 - PS2 Game,Playstation 2,game only,loose,53.31,75.98,71.99,-3.99,16.29,APPLIED
Ape Escape 3 - PS2 Game,Playstation 2,complete (cib),cib,64.83,75.98,87.99,12.01,20.31,APPLIED
Ape Escape Academy - PSP Game,PSP,,,,,,,,NO_MATCH
Apocalypse - PS1 Game,Playstation,game only,loose,15.39,20.48,20.99,0.51,4.69,APPLIED
Apocalypse - PS1 Game,Playstation,complete (cib),cib,17.99,20.48,24.99,4.51,5.98,APPLIED
Aqua Aqua - PS2 Game,Playstation 2,game only,loose,39.95,10.45,53.99,43.54,12.17,APPLIED
Aqua Aqua - PS2 Game,Playstation 2,complete (cib),cib,60.00,10.45,81.99,71.54,19.31,APPLIED
Aqua Panic - Wii Game,Wii,game only,loose,14.00,21.18,18.99,-2.19,4.14,APPLIED
Aqua Panic - Wii Game,Wii,complete (cib),cib,16.98,21.18,22.99,1.81,5.04,APPLIED
Aqua Teen Hunger Force Zombie Ninja Pro-Am - PS2 Game,Playstation 2,game only,loose,39.95,41.78,53.99,12.21,12.17,APPLIED
Aqua Teen Hunger Force Zombie Ninja Pro-Am - PS2 Game,Playstation 2,complete (cib),cib,60.00,41.78,81.99,40.21,19.31,APPLIED
Aquatic Games Starring James Pond - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Ar Tonelico Melody of Elemia - PS2 Game,Playstation 2,game only,loose,46.85,99.85,63.99,-35.86,14.98,APPLIED
Ar Tonelico Melody of Elemia - PS2 Game,Playstation 2,complete (cib),cib,86.88,99.85,117.99,18.14,27.39,APPLIED
Arc The Lad Collection - PS1 Game,Playstation,,,,,,,,NO_MATCH
Arc the Lad Twilight of the Spirits - PS2 Game,Playstation 2,game only,loose,7.73,13.74,10.99,-2.75,2.64,APPLIED
Arc the Lad Twilight of the Spirits - PS2 Game,Playstation 2,complete (cib),cib,9.34,13.74,12.99,-0.75,2.97,APPLIED
Arcade Party Pak - PS1 Game,Playstation,game only,loose,10.93,18.70,14.99,-3.71,3.33,APPLIED
